Id,Shape,Weight,Clarity,Colour,Cut,Polish,Symmetry,Fluorescence,Messurements,Price,Data Url
1795561,ROUND,0.3,SI2,K,EX,VG,EX,F,4.32-4.34×2.69,655.38,https://capitalwholesalediamonds.com/product/0-3-ct-round-5803/
1789678,ROUND,0.3,VS1,L,GD,VG,VG,N,4.36-4.40×2.56,686.87,https://capitalwholesalediamonds.com/product/0-3-ct-round-5816/
1791701,ROUND,0.3,SI1,K,EX,VG,EX,N,4.28-4.31×2.69,692.93,https://capitalwholesalediamonds.com/product/0-3-ct-round-5786/
1799570,ROUND,0.3,SI1,L,VG,VG,VG,ST,4.27-4.30×2.68,693.42,https://capitalwholesalediamonds.com/product/0-3-ct-round-5834/
1774058,ROUND,0.4,VS2,Q-R,EX,EX,EX,N,4.72-4.75×2.91,701.01,https://capitalwholesalediamonds.com/product/0-4-ct-round-1173/
1565775,ROUND,0.23,SI1,H,GD,GD,FR,N,3.88-3.91×2.42,703.36,https://capitalwholesalediamonds.com/product/0-23-ct-round-1694/
1565775,ROUND,0.23,SI1,H,GD,GD,FR,N,3.88-3.91×2.42,703.36,https://capitalwholesalediamonds.com/product/0-23-ct-round-2508/
1782527,ROUND,0.3,VS1,N,EX,EX,VG,M,4.23-4.27×2.66,709.66,https://capitalwholesalediamonds.com/product/0-3-ct-round-6412/
1781010,ROUND,0.4,VS2,O-P,EX,EX,VG,N,4.66-4.70×2.97,715.21,https://capitalwholesalediamonds.com/product/0-4-ct-round-1163/
1773437,ROUND,0.3,SI2,J,VG,VG,GD,N,4.28-4.33×2.60,715.73,https://capitalwholesalediamonds.com/product/0-3-ct-round-5706/
1592733,ROUND,0.5,SI2,O-P,VG,EX,VG,F,4.94-4.98×3.16,716.67,https://capitalwholesalediamonds.com/product/0-5-ct-round-14/
1784917,ROUND,0.32,SI1,N,EX,EX,EX,N,4.38-4.40×2.75,727.92,https://capitalwholesalediamonds.com/product/0-32-ct-round-996/
1795548,ROUND,0.3,SI1,L,VG,EX,GD,N,4.25-4.28×2.63,731.96,https://capitalwholesalediamonds.com/product/0-3-ct-round-5837/
1790936,ROUND,0.3,SI1,L,EX,EX,EX,F,4.29-4.31×2.66,735.03,https://capitalwholesalediamonds.com/product/0-3-ct-round-5838/
1788893,ROUND,0.3,VS2,L,VG,VG,GD,F,4.22-4.27×2.71,736.01,https://capitalwholesalediamonds.com/product/0-3-ct-round-5821/
1789798,ROUND,0.3,SI1,K,VG,EX,GD,F,4.26-4.28×2.59,737.55,https://capitalwholesalediamonds.com/product/0-3-ct-round-5784/
1788865,ROUND,0.3,VS1,L,EX,VG,EX,ST,4.35-4.37×2.60,737.55,https://capitalwholesalediamonds.com/product/0-3-ct-round-5812/
1789799,ROUND,0.3,SI1,L,EX,EX,VG,N,4.26-4.29×2.68,740.1,https://capitalwholesalediamonds.com/product/0-3-ct-round-5842/
1791650,ROUND,0.3,VS2,L,VG,EX,VG,F,4.18-4.23×2.65,741.61,https://capitalwholesalediamonds.com/product/0-3-ct-round-5829/
1761451,ROUND,0.3,SI1,L,EX,EX,EX,F,4.35-4.37×2.67,743.11,https://capitalwholesalediamonds.com/product/0-3-ct-round-5843/
